,age,marital,segment,SocialMedia,income,creditRating,aveSpend,touchpoints,nTouchpoints,recent_touchpoint,num_creditRating,single,divorced,married,unknown,P4,P3,P2,P1,U,N,Y,C,B,D,A,F,E,New,G
36,32,divorced,P1,Y,60000.0,B,20.05,emailDestination emailDestination,2,emailDestination,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
37,30,married,P2,N,54000.0,A,267.3,emailDestination emailDiscount mailDestination emailGift mailDestination emailDiscount mailDestination,7,mailDestination,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
38,28,single,P4,N,52000.0,B,201.08,smsDestination smsDiscount emailDestination smsDiscount smsDiscount smsDiscount emailDiscount smsDiscount,8,smsDiscount,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
39,32,single,P1,N,56000.0,B,304.45,smsDiscount emailDiscount smsGift smsDiscount smsDiscount emailDestination smsDiscount smsDiscount,8,smsDiscount,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
40,49,married,P3,Y,60000.0,A,600.0,mailDiscount,1,mailDiscount,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
41,37,divorced,P1,Y,85000.0,C,19.16,emailDiscount,1,emailDiscount,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
42,55,married,P3,N,27000.0,A,283.79,mailDiscount emailDiscount,2,emailDiscount,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
43,37,married,P2,Y,55000.0,B,13.59,emailDestination smsDiscount,2,smsDiscount,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
44,43,divorced,P1,N,32512.0,New,105.56,mailDestination emailDestination emailDestination,3,emailDestination,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
45,32,single,P1,N,61400.0,E,732.58,smsDiscount mailDiscount smsDiscount emailDestination,4,emailDestination,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
46,39,single,P2,U,53000.0,B,1466.89,mailDiscount smsGift,2,smsGift,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
47,30,single,P1,N,42700.0,B,22.94,smsDestination emailDestination,2,emailDestination,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
48,52,divorced,P3,N,61500.0,New,52.6,emailDiscount mailGift,2,mailGift,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
49,43,married,P4,U,62000.0,D,4010.0,emailDestination emailDestination mailDiscount mailDiscount,4,mailDiscount,4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50,24,single,P3,U,68000.0,D,1256.1,mailDiscount mailGift mailDiscount,3,mailDiscount,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
51,36,married,P4,U,56000.0,B,362.43,smsDiscount mailDiscount,2,mailDiscount,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
52,35,married,P2,N,75000.0,B,5.36,mailGift,1,mailGift,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
53,29,married,P1,U,81000.0,B,955.34,mailDiscount mailDiscount emailDiscount emailDestination emailDestination emailDiscount emailDestination,7,emailDestination,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
54,45,married,P4,Y,76688.0,B,348.33,mailGift emailDiscount,2,emailDiscount,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
55,55,married,P2,N,50500.0,A,0.4,smsDiscount,1,smsDiscount,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
56,27,married,P4,N,68000.0,C,16509.19,mailDiscount emailDestination mailDiscount mailDiscount mailDiscount emailDestination mailDiscount,7,mailDiscount,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
57,49,married,P3,Y,54000.0,New,14.24,emailDestination mailGift,2,mailGift,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
58,57,married,P4,N,72000.0,New,74.54,emailDiscount,1,emailDiscount,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
59,29,single,P3,U,38400.0,D,27.78,emailGift,1,emailGift,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
60,49,married,P2,N,38400.0,B,42.36,emailDestination emailDiscount,2,emailDiscount,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
61,49,married,P1,N,40000.0,B,89.45,emailDestination emailDiscount emailDestination,3,emailDestination,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
62,51,married,P2,Y,30000.0,D,330.04,mailDestination mailDiscount emailDestination mailDiscount,4,mailDiscount,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
63,48,married,P4,Y,40000.0,C,215.0,emailDiscount,1,emailDiscount,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
64,45,married,P1,U,42500.0,C,12.13,emailDestination,1,emailDestination,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
65,36,divorced,P2,Y,80000.0,A,88.89,emailDestination emailDiscount emailDestination,3,emailDestination,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
66,48,divorced,P3,N,26000.0,C,12.13,emailDestination,1,emailDestination,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
67,27,single,P3,N,78000.0,C,6075.56,emailGift smsGift,2,smsGift,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
68,58,married,P2,U,75000.0,A,272.22,emailDestination emailGift emailDestination,3,emailDestination,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
69,36,single,P2,N,42000.0,A,40.37,emailDiscount,1,emailDiscount,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
70,54,married,P3,U,53000.0,E,447.46,emailDiscount emailDestination mailDiscount mailDiscount smsDiscount emailDiscount smsDiscount smsDiscount,8,smsDiscount,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
71,50,married,P2,N,71502.0,C,702.49,emailDestination emailDiscount emailDestination emailGift smsDestination mailDiscount emailDiscount,7,emailDiscount,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
72,25,single,P4,Y,110000.0,F,72.63,emailDiscount,1,emailDiscount,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
73,27,married,P3,U,40000.0,C,7.88,emailDestination,1,emailDestination,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
74,44,married,P3,U,50000.0,A,71.15,mailGift emailDestination,2,emailDestination,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
75,39,married,P1,Y,54000.0,B,2.45,emailDestination,1,emailDestination,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
76,51,married,P1,Y,50000.0,C,76.65,smsDiscount emailGift,2,emailGift,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
77,58,married,P2,Y,72000.0,D,7.5,emailDestination,1,emailDestination,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
78,31,single,P4,N,30000.0,D,12.13,emailDestination,1,emailDestination,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
79,35,married,P1,Y,13500.0,A,38.32,emailDestination mailDestination,2,mailDestination,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
80,42,married,P1,Y,26000.0,E,77.91,emailDiscount smsDiscount emailDiscount emailDestination,4,emailDestination,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
81,40,single,P2,N,115000.0,B,12.13,emailDestination,1,emailDestination,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
82,53,divorced,P2,N,45000.0,C,25.59,smsDiscount smsGift,2,smsGift,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
83,45,married,P2,N,70000.0,B,261.09,emailGift smsGift emailDestination smsGift,4,smsGift,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
84,44,divorced,P3,N,80000.0,A,11.98,smsGift,1,smsGift,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
85,34,single,P2,Y,55000.0,A,2849.89,mailDiscount mailDiscount emailDestination mailGift mailDiscount mailDiscount smsDiscount,7,smsDiscount,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
86,41,divorced,P3,N,52000.0,B,55.01,emailDiscount emailDestination,2,emailDestination,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
87,54,single,P2,N,56000.0,B,12.13,emailDestination,1,emailDestination,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
88,42,divorced,P2,U,65000.0,B,106.54,emailDiscount mailDiscount,2,mailDiscount,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
89,51,married,P4,U,38000.0,E,201.79,emailDiscount emailDiscount smsDiscount,3,smsDiscount,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,37,married,P3,N,60000.0,A,608.21,emailDestination emailDiscount emailDestination emailDestination mailDiscount,5,mailDiscount,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
91,29,married,P4,U,100000.0,B,77.34,smsDiscount emailDiscount,2,emailDiscount,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
92,30,single,P2,N,100000.0,B,1319.82,emailDiscount emailDiscount smsDiscount mailDestination,4,mailDestination,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
93,51,single,P1,U,40000.0,B,4.92,emailDestination,1,emailDestination,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
94,53,divorced,P3,Y,58000.0,C,409.55,mailGift mailDiscount,2,mailDiscount,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
95,44,married,P1,Y,60000.0,C,10.53,smsDiscount emailDiscount,2,emailDiscount,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
96,41,married,P1,N,109800.0,C,42.31,smsDiscount,1,smsDiscount,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
97,39,married,P4,Y,45000.0,B,204.03,smsGift emailDestination emailDiscount,3,emailDiscount,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
98,37,married,P1,U,35000.0,B,342.79,emailDestination mailDiscount mailDestination mailDiscount mailGift,5,mailGift,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
99,44,married,P4,N,40472.0,A,42.36,emailDestination emailDiscount,2,emailDiscount,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
100,35,married,P2,Y,45000.0,F,378.99,mailDiscount,1,mailDiscount,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
101,26,single,P1,U,60000.0,C,495.89,mailDiscount emailDestination mailDestination,3,mailDestination,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
102,22,single,P4,N,105000.0,C,20.83,emailDestination,1,emailDestination,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
103,44,single,P3,Y,125000.0,D,4.92,emailDestination,1,emailDestination,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
104,44,married,P1,N,90000.0,C,12.13,emailDestination,1,emailDestination,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
105,36,single,P1,U,53000.0,E,126.65,emailDestination mailDiscount mailDiscount emailDiscount,4,emailDiscount,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
106,41,married,P2,U,106000.0,F,2562.85,smsDestination mailDiscount mailDiscount emailDiscount smsGift mailDiscount emailDiscount,7,emailDiscount,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
107,32,married,P2,Y,40000.0,B,7.5,emailDestination,1,emailDestination,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,35,married,P2,N,93000.0,C,8064.4,emailDestination,1,emailDestination,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
109,56,divorced,P3,N,225000.0,A,7.5,emailDestination,1,emailDestination,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
110,34,married,P1,Y,150000.0,New,55.5,emailDestination mailDiscount,2,mailDiscount,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
111,52,divorced,P1,Y,60000.0,C,366.87,emailDestination emailDiscount mailDiscount emailDestination,4,emailDestination,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
112,31,single,P3,Y,92100.0,B,3358.87,emailDiscount mailDiscount mailGift mailDiscount mailGift emailDestination mailDiscount emailDiscount,8,emailDiscount,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
113,27,single,P4,U,36844.0,A,396.35,emailDestination emailDestination emailDestination,3,emailDestination,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
114,43,married,P3,Y,40000.0,C,97.21,emailDestination mailDiscount,2,mailDiscount,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
115,54,married,P1,Y,46700.0,D,12.13,emailDestination,1,emailDestination,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
116,41,married,P1,U,70000.0,B,376.76,emailDiscount smsDiscount emailDiscount mailDiscount,4,mailDiscount,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
117,34,married,P1,U,83000.0,C,91.47,emailDestination emailDestination smsDiscount,3,smsDiscount,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
118,24,single,P1,N,65000.0,D,7.5,emailDestination,1,emailDestination,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
119,32,married,P3,N,130000.0,C,701.17,emailDestination emailDiscount emailDestination emailGift smsDiscount mailDiscount mailGift,7,mailGift,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
120,48,married,P4,N,32000.0,C,944.95,emailDiscount emailDestination emailDestination,3,emailDestination,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
121,39,married,P4,N,85000.0,E,611.4,smsDiscount emailDiscount emailDestination emailDiscount,4,emailDiscount,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
122,59,divorced,P2,U,30961.0,D,67.5,emailDestination mailDestination,2,mailDestination,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
123,29,single,P3,N,53000.0,D,5596.5,mailDiscount emailDestination emailDestination,3,emailDestination,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
124,34,single,P1,U,55000.0,B,53.31,emailDiscount emailGift,2,emailGift,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
125,24,single,P3,Y,50000.0,B,532.25,mailGift mailDiscount smsGift,3,smsGift,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
126,58,married,P1,Y,127700.0,A,578.08,smsGift emailDiscount mailGift emailDiscount smsGift emailDestination smsDestination emailGift,8,emailGift,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
127,42,divorced,P1,Y,113000.0,C,7.5,emailDestination,1,emailDestination,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
128,56,married,P3,N,95000.0,A,880.15,mailGift emailGift mailDestination emailDiscount emailDiscount,5,emailDiscount,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
129,29,married,P4,U,46000.0,B,7.5,emailDestination,1,emailDestination,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
130,33,married,P2,Y,49000.0,D,12.13,emailDestination,1,emailDestination,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
131,35,single,P4,N,170000.0,B,104.53,emailDestination smsGift emailDestination,3,emailDestination,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
132,37,single,P3,Y,60000.0,B,7.36,emailDestination,1,emailDestination,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
133,37,married,P1,U,55000.0,B,13.59,emailDestination smsDiscount,2,smsDiscount,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
134,33,married,P4,U,61000.0,C,12.13,emailDestination,1,emailDestination,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
135,51,married,P2,N,45000.0,A,1477.98,mailDiscount mailDiscount,2,mailDiscount,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
136,59,married,P1,U,150000.0,A,1540.41,mailDiscount mailDiscount mailDiscount emailGift,4,emailGift,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
137,35,single,P3,N,75000.0,A,28.19,emailDestination emailDestination,2,emailDestination,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
138,55,married,P4,U,120000.0,D,108.82,smsGift,1,smsGift,4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
139,48,married,P4,U,80000.0,B,2556.52,emailDestination emailGift mailGift mailGift,4,mailGift,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,32,married,P2,U,90000.0,A,51.5,smsDiscount emailDiscount,2,emailDiscount,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
141,45,married,P3,N,48000.0,C,4506.66,mailDiscount emailDiscount emailDiscount emailGift,4,emailGift,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
142,31,single,P3,N,150000.0,B,5723.0,mailDiscount mailDiscount emailDestination mailDiscount,4,mailDiscount,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
143,47,married,P1,N,121415.0,F,25.24,emailDiscount,1,emailDiscount,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
144,39,married,P3,N,56000.0,B,12.13,emailDestination,1,emailDestination,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
145,58,married,P1,N,40000.0,C,7.5,emailDestination,1,emailDestination,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
146,40,married,P1,U,60000.0,D,195.85,emailDestination emailDestination emailDiscount emailDiscount emailDiscount mailDestination emailDestination,7,emailDestination,4,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
147,34,single,P1,Y,35000.0,B,32.25,emailGift,1,emailGift,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
148,37,married,P1,Y,67000.0,C,90.94,smsDestination emailDiscount,2,emailDiscount,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
149,48,married,P4,N,55000.0,B,7.5,emailDestination,1,emailDestination,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
150,45,married,P1,U,68000.0,B,383.73,emailDestination smsDestination emailDiscount mailDestination mailGift emailGift,6,emailGift,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
151,42,married,P4,Y,33000.0,B,80.09,emailGift emailDiscount,2,emailDiscount,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
152,45,married,P3,U,28000.0,A,57.67,emailDiscount emailDiscount emailDiscount emailDestination,4,emailDestination,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
153,35,married,P3,Y,35000.0,A,12.13,emailDestination,1,emailDestination,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
154,39,married,P3,N,100000.0,C,2.5,emailDestination,1,emailDestination,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
155,57,married,P3,U,80000.0,C,299.46,emailDiscount emailDiscount smsDestination emailDiscount,4,emailDiscount,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
156,47,divorced,P2,N,181000.0,C,30.96,emailDestination mailDiscount,2,mailDiscount,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
157,39,married,P1,N,26000.0,A,98.74,emailDestination smsDestination,2,smsDestination,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
158,33,divorced,P2,Y,53000.0,C,1086.51,emailGift,1,emailGift,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
159,28,married,P4,Y,42000.0,C,193.27,emailDestination emailDiscount emailDiscount smsDestination smsGift mailGift emailDiscount,7,emailDiscount,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
